letter,transliteration,pronunciation,type
ᜠ,a,ʔa,v
ᜡ,i,ʔi,v
ᜢ,u,ʔu,v
ᜣ,ka,ka,s
ᜤ,ga,ɡa,s
ᜥ,nga,ŋa,s
ᜦ,ta,ta,s
ᜧ,da,da,s
ᜨ,na,na,s
ᜩ,pa,pa,s
ᜪ,ba,ba,s
ᜫ,ma,ma,s
ᜬ,ya,ja,s
ᜭ,ra,ra,s
ᜮ,la,la,s
ᜯ,wa,wa,s
ᜰ,sa,sa,s
ᜱ,ha,ha,s
ᜣᜲ,ki,ki,s
ᜤᜲ,gi,ɡi,s
ᜥᜲ,ngi,ŋi,s
ᜦᜲ,ti,ti,s
ᜧᜲ,di,di,s
ᜨᜲ,ni,ni,s
ᜩᜲ,pi,pi,s
ᜪᜲ,bi,bi,s
ᜫᜲ,mi,mi,s
ᜬᜲ,yi,ji,s
ᜭᜲ,ri,ri,s
ᜮᜲ,li,li,s
ᜯᜲ,wi,wi,s
ᜰᜲ,si,ri,s
ᜱᜲ,hi,hi,s
ᜣᜳ,ku,ku,s
ᜤᜳ,gu,ɡu,s
ᜥᜳ,ngu,ŋu,s
ᜦᜳ,tu,tu,s
ᜧᜳ,du,du,s
ᜨᜳ,nu,nu,s
ᜩᜳ,pu,pu,s
ᜪᜳ,bu,bu,s
ᜫᜳ,mu,mu,s
ᜬᜳ,yu,ju,s
ᜭᜳ,ru,ru,s
ᜮᜳ,lu,lu,s
ᜯᜳ,wu,wu,s
ᜰᜳ,su,su,s
ᜱᜳ,hu,hu,s
ᜣ᜴,k,k,s
ᜤ᜴,g,ɡ,s
ᜥ᜴,ng,ŋ,s
ᜦ᜴,t,t,s
ᜧ᜴,d,d,s
ᜨ᜴,n,n,s
ᜩ᜴,p,p,s
ᜪ᜴,b,b,s
ᜫ᜴,m,m,s
ᜬ᜴,y,j,s
ᜭ᜴,r,r,s
ᜮ᜴,l,l,s
ᜯ᜴,w,w,s
ᜰ᜴,s,s,s
ᜱ᜴,h,h,s
